
=== Strategy Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x70edd96c806f7a3d0715e4f818ea64f06c5ae6b33cdf0d2257398e956bf0f1cb
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 19800000 | Rate: 26097864/s | Time: 0.8s
  Attempts: 19900000 | Rate: 26092650/s | Time: 0.8s
  Attempts: 20000000 | Rate: 26091684/s | Time: 0.8s
  Attempts: 20100000 | Rate: 26086189/s | Time: 0.8s
  Attempts: 20200000 | Rate: 26084003/s | Time: 0.8s
  Attempts: 20300000 | Rate: 26077451/s | Time: 0.8s
  Attempts: 20400000 | Rate: 26071178/s | Time: 0.8s
  Attempts: 20500000 | Rate: 26070835/s | Time: 0.8s
  Attempts: 20600000 | Rate: 26070004/s | Time: 0.8s
  Attempts: 20700000 | Rate: 26070911/s | Time: 0.8s
  Attempts: 20800000 | Rate: 26071027/s | Time: 0.8s
  Attempts: 20900000 | Rate: 26070268/s | Time: 0.8s
  Attempts: 21000000 | Rate: 26065638/s | Time: 0.8s
  Attempts: 21100000 | Rate: 26062157/s | Time: 0.8s
  Attempts: 21200000 | Rate: 26062780/s | Time: 0.8s
  Attempts: 21300000 | Rate: 26060561/s | Time: 0.8s
  Attempts: 21400000 | Rate: 26059939/s | Time: 0.8s
  Attempts: 21500000 | Rate: 26060465/s | Time: 0.8s
  Attempts: 21600000 | Rate: 26060101/s | Time: 0.8s
  Attempts: 21700000 | Rate: 26061150/s | Time: 0.8s
  Attempts: 21800000 | Rate: 26061464/s | Time: 0.8s
  Attempts: 21900000 | Rate: 26057184/s | Time: 0.8s
  Attempts: 22000000 | Rate: 26055483/s | Time: 0.8s
  Attempts: 22100000 | Rate: 26054396/s | Time: 0.8s
  Attempts: 22200000 | Rate: 26054756/s | Time: 0.9s
  Attempts: 22300000 | Rate: 26052827/s | Time: 0.9s
  Attempts: 22400000 | Rate: 26052595/s | Time: 0.9s
  Attempts: 22500000 | Rate: 26053645/s | Time: 0.9s
  Attempts: 22600000 | Rate: 26054401/s | Time: 0.9s
  Attempts: 22700000 | Rate: 26054063/s | Time: 0.9s
  Attempts: 22800000 | Rate: 26050733/s | Time: 0.9s
  Attempts: 22900000 | Rate: 26048316/s | Time: 0.9s
  Attempts: 23000000 | Rate: 26047542/s | Time: 0.9s
  Attempts: 23100000 | Rate: 26047947/s | Time: 0.9s
  Attempts: 23200000 | Rate: 26045954/s | Time: 0.9s
  Attempts: 23300000 | Rate: 26047145/s | Time: 0.9s
  Attempts: 23400000 | Rate: 26046262/s | Time: 0.9s
  Attempts: 23500000 | Rate: 26046422/s | Time: 0.9s
  Attempts: 23600000 | Rate: 26045870/s | Time: 0.9s
  Attempts: 23700000 | Rate: 26044618/s | Time: 0.9s
  Attempts: 23800000 | Rate: 26041722/s | Time: 0.9s
  Attempts: 23900000 | Rate: 26040406/s | Time: 0.9s
  Attempts: 24000000 | Rate: 26040322/s | Time: 0.9s
  Attempts: 24100000 | Rate: 26039044/s | Time: 0.9s
  Attempts: 24200000 | Rate: 26039929/s | Time: 0.9s
  Attempts: 24300000 | Rate: 26040680/s | Time: 0.9s
  Attempts: 24400000 | Rate: 26040712/s | Time: 0.9s
  Attempts: 24500000 | Rate: 26041289/s | Time: 0.9s
  Attempts: 24600000 | Rate: 26040970/s | Time: 0.9s
  Attempts: 24700000 | Rate: 26035438/s | Time: 0.9s
  Attempts: 24800000 | Rate: 26029685/s | Time: 1.0s
  Attempts: 24900000 | Rate: 26027825/s | Time: 1.0s
  Attempts: 25000000 | Rate: 26026884/s | Time: 1.0s
  Attempts: 25100000 | Rate: 26026517/s | Time: 1.0s
  Attempts: 25200000 | Rate: 26027356/s | Time: 1.0s
  Attempts: 25300000 | Rate: 26028304/s | Time: 1.0s
  Attempts: 25400000 | Rate: 26029186/s | Time: 1.0s
  Attempts: 25500000 | Rate: 26027569/s | Time: 1.0s
  Attempts: 25600000 | Rate: 26024147/s | Time: 1.0s
  Attempts: 25700000 | Rate: 26023002/s | Time: 1.0s
  Attempts: 25800000 | Rate: 26023269/s | Time: 1.0s
  Attempts: 25900000 | Rate: 26021064/s | Time: 1.0s
  Attempts: 26000000 | Rate: 26021896/s | Time: 1.0s
  Attempts: 26100000 | Rate: 26022863/s | Time: 1.0s
  Attempts: 26200000 | Rate: 26022767/s | Time: 1.0s
  Attempts: 26300000 | Rate: 26022866/s | Time: 1.0s
  Attempts: 26400000 | Rate: 26022647/s | Time: 1.0s
  Attempts: 26500000 | Rate: 26016903/s | Time: 1.0s
  Attempts: 26600000 | Rate: 26012236/s | Time: 1.0s
  Attempts: 26700000 | Rate: 26011723/s | Time: 1.0s
  Attempts: 26800000 | Rate: 26010243/s | Time: 1.0s
  Attempts: 26900000 | Rate: 26010828/s | Time: 1.0s
  Attempts: 27000000 | Rate: 26010655/s | Time: 1.0s
  Attempts: 27100000 | Rate: 26011035/s | Time: 1.0s
  Attempts: 27200000 | Rate: 26011894/s | Time: 1.0s
  Attempts: 27300000 | Rate: 26012127/s | Time: 1.0s
  Attempts: 27400000 | Rate: 26005043/s | Time: 1.1s
  Attempts: 27500000 | Rate: 26001774/s | Time: 1.1s
  Attempts: 27600000 | Rate: 26001690/s | Time: 1.1s
  Attempts: 27700000 | Rate: 25999943/s | Time: 1.1s
  Attempts: 27800000 | Rate: 26000287/s | Time: 1.1s
  Attempts: 27900000 | Rate: 26000149/s | Time: 1.1s
  Attempts: 28000000 | Rate: 26001078/s | Time: 1.1s
  Attempts: 28100000 | Rate: 25997221/s | Time: 1.1s
  Attempts: 28200000 | Rate: 25997001/s | Time: 1.1s
  Attempts: 28300000 | Rate: 25994919/s | Time: 1.1s
  Attempts: 28400000 | Rate: 25993282/s | Time: 1.1s
  Attempts: 28500000 | Rate: 25992463/s | Time: 1.1s
  Attempts: 28600000 | Rate: 25989811/s | Time: 1.1s
  Attempts: 28700000 | Rate: 25990630/s | Time: 1.1s
  Attempts: 28800000 | Rate: 25989680/s | Time: 1.1s
  Attempts: 28900000 | Rate: 25990364/s | Time: 1.1s
  Attempts: 29000000 | Rate: 25991159/s | Time: 1.1s
  Attempts: 29100000 | Rate: 25990807/s | Time: 1.1s
  Attempts: 29200000 | Rate: 25987558/s | Time: 1.1s
  Attempts: 29300000 | Rate: 25985791/s | Time: 1.1s
  Attempts: 29400000 | Rate: 25985091/s | Time: 1.1s
  Attempts: 29500000 | Rate: 25985257/s | Time: 1.1s
  Attempts: 29600000 | Rate: 25986141/s | Time: 1.1s
  Attempts: 29700000 | Rate: 25986128/s | Time: 1.1s
  Attempts: 29800000 | Rate: 25986176/s | Time: 1.1s
  Attempts: 29900000 | Rate: 25987131/s | Time: 1.2s
  Attempts: 30000000 | Rate: 25987931/s | Time: 1.2s
  Attempts: 30100000 | Rate: 25982699/s | Time: 1.2s
  Attempts: 30200000 | Rate: 25981602/s | Time: 1.2s
  Attempts: 30300000 | Rate: 25981996/s | Time: 1.2s
  Attempts: 30400000 | Rate: 25981780/s | Time: 1.2s
  Attempts: 30500000 | Rate: 25981743/s | Time: 1.2s
  Attempts: 30600000 | Rate: 25978581/s | Time: 1.2s
  Attempts: 30700000 | Rate: 25975788/s | Time: 1.2s
  Attempts: 30800000 | Rate: 25972581/s | Time: 1.2s
  Attempts: 30900000 | Rate: 25968108/s | Time: 1.2s
  Attempts: 31000000 | Rate: 25959987/s | Time: 1.2s
  Attempts: 31100000 | Rate: 25955031/s | Time: 1.2s
  Attempts: 31200000 | Rate: 25951966/s | Time: 1.2s
  Attempts: 31300000 | Rate: 25946267/s | Time: 1.2s
  Attempts: 31400000 | Rate: 25942579/s | Time: 1.2s
