
=== Wrapper Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x7f4e8166ddda12d0f4dbab33c68115dc924fa083ce4acdba8cd492573d4dc86f
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 13400000 | Rate: 35454873/s | Time: 0.4s
  Attempts: 13500000 | Rate: 35461201/s | Time: 0.4s
  Attempts: 13600000 | Rate: 35464267/s | Time: 0.4s
  Attempts: 13700000 | Rate: 35472862/s | Time: 0.4s
  Attempts: 13800000 | Rate: 35481830/s | Time: 0.4s
  Attempts: 13900000 | Rate: 35483846/s | Time: 0.4s
  Attempts: 14000000 | Rate: 35486940/s | Time: 0.4s
  Attempts: 14100000 | Rate: 35494029/s | Time: 0.4s
  Attempts: 14200000 | Rate: 35494793/s | Time: 0.4s
  Attempts: 14300000 | Rate: 35489065/s | Time: 0.4s
  Attempts: 14400000 | Rate: 35491717/s | Time: 0.4s
  Attempts: 14500000 | Rate: 35490846/s | Time: 0.4s
  Attempts: 14600000 | Rate: 35486171/s | Time: 0.4s
  Attempts: 14700000 | Rate: 35488349/s | Time: 0.4s
  Attempts: 14800000 | Rate: 35494106/s | Time: 0.4s
  Attempts: 14900000 | Rate: 35499377/s | Time: 0.4s
  Attempts: 15000000 | Rate: 35504533/s | Time: 0.4s
  Attempts: 15100000 | Rate: 35510971/s | Time: 0.4s
  Attempts: 15200000 | Rate: 35515957/s | Time: 0.4s
  Attempts: 15300000 | Rate: 35519223/s | Time: 0.4s
  Attempts: 15400000 | Rate: 35520465/s | Time: 0.4s
  Attempts: 15500000 | Rate: 35514355/s | Time: 0.4s
  Attempts: 15600000 | Rate: 35518627/s | Time: 0.4s
  Attempts: 15700000 | Rate: 35522897/s | Time: 0.4s
  Attempts: 15800000 | Rate: 35522227/s | Time: 0.4s
  Attempts: 15900000 | Rate: 35525141/s | Time: 0.4s
  Attempts: 16000000 | Rate: 35528442/s | Time: 0.5s
  Attempts: 16100000 | Rate: 35530487/s | Time: 0.5s
  Attempts: 16200000 | Rate: 35533216/s | Time: 0.5s
  Attempts: 16300000 | Rate: 35538542/s | Time: 0.5s
  Attempts: 16400000 | Rate: 35540680/s | Time: 0.5s
  Attempts: 16500000 | Rate: 35545417/s | Time: 0.5s
  Attempts: 16600000 | Rate: 35553359/s | Time: 0.5s
  Attempts: 16700000 | Rate: 35556031/s | Time: 0.5s
  Attempts: 16800000 | Rate: 35541121/s | Time: 0.5s
  Attempts: 16900000 | Rate: 35533645/s | Time: 0.5s
  Attempts: 17000000 | Rate: 35535135/s | Time: 0.5s
  Attempts: 17100000 | Rate: 35538821/s | Time: 0.5s
  Attempts: 17200000 | Rate: 35539540/s | Time: 0.5s
  Attempts: 17300000 | Rate: 35540678/s | Time: 0.5s
  Attempts: 17400000 | Rate: 35545187/s | Time: 0.5s
  Attempts: 17500000 | Rate: 35552888/s | Time: 0.5s
