
=== Wrapper Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x12fa3fc440a2f07751522844301db74fcfc1092732273f79b9f65038c05241e0
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 27800000 | Rate: 34211180/s | Time: 0.8s
  Attempts: 27900000 | Rate: 34203694/s | Time: 0.8s
  Attempts: 28000000 | Rate: 34201313/s | Time: 0.8s
  Attempts: 28100000 | Rate: 34196186/s | Time: 0.8s
  Attempts: 28200000 | Rate: 34188143/s | Time: 0.8s
  Attempts: 28300000 | Rate: 34184427/s | Time: 0.8s
  Attempts: 28400000 | Rate: 34182717/s | Time: 0.8s
  Attempts: 28500000 | Rate: 34183289/s | Time: 0.8s
  Attempts: 28600000 | Rate: 34181939/s | Time: 0.8s
  Attempts: 28700000 | Rate: 34183121/s | Time: 0.8s
  Attempts: 28800000 | Rate: 34177594/s | Time: 0.8s
  Attempts: 28900000 | Rate: 34160227/s | Time: 0.8s
  Attempts: 29000000 | Rate: 34143595/s | Time: 0.8s
  Attempts: 29100000 | Rate: 34134298/s | Time: 0.9s
  Attempts: 29200000 | Rate: 34131008/s | Time: 0.9s
  Attempts: 29300000 | Rate: 34121852/s | Time: 0.9s
  Attempts: 29400000 | Rate: 34118097/s | Time: 0.9s
  Attempts: 29500000 | Rate: 34109764/s | Time: 0.9s
  Attempts: 29600000 | Rate: 34106531/s | Time: 0.9s
  Attempts: 29700000 | Rate: 34105476/s | Time: 0.9s
  Attempts: 29800000 | Rate: 34103214/s | Time: 0.9s
  Attempts: 29900000 | Rate: 34096242/s | Time: 0.9s
  Attempts: 30000000 | Rate: 34076847/s | Time: 0.9s
  Attempts: 30100000 | Rate: 34060173/s | Time: 0.9s
  Attempts: 30200000 | Rate: 34051706/s | Time: 0.9s
  Attempts: 30300000 | Rate: 34034378/s | Time: 0.9s
  Attempts: 30400000 | Rate: 34019411/s | Time: 0.9s
  Attempts: 30500000 | Rate: 34006772/s | Time: 0.9s
  Attempts: 30600000 | Rate: 33996877/s | Time: 0.9s
  Attempts: 30700000 | Rate: 33974610/s | Time: 0.9s
  Attempts: 30800000 | Rate: 33965995/s | Time: 0.9s
  Attempts: 30900000 | Rate: 33956804/s | Time: 0.9s
  Attempts: 31000000 | Rate: 33941137/s | Time: 0.9s
  Attempts: 31100000 | Rate: 33916369/s | Time: 0.9s
  Attempts: 31200000 | Rate: 33903787/s | Time: 0.9s
  Attempts: 31300000 | Rate: 33884837/s | Time: 0.9s
  Attempts: 31400000 | Rate: 33873129/s | Time: 0.9s
  Attempts: 31500000 | Rate: 33867292/s | Time: 0.9s
  Attempts: 31600000 | Rate: 33863894/s | Time: 0.9s
  Attempts: 31700000 | Rate: 33857659/s | Time: 0.9s
  Attempts: 31800000 | Rate: 33852448/s | Time: 0.9s
  Attempts: 31900000 | Rate: 33849237/s | Time: 0.9s
  Attempts: 32000000 | Rate: 33844979/s | Time: 0.9s
  Attempts: 32100000 | Rate: 33836626/s | Time: 0.9s
  Attempts: 32200000 | Rate: 33826009/s | Time: 1.0s
  Attempts: 32300000 | Rate: 33817374/s | Time: 1.0s
  Attempts: 32400000 | Rate: 33812350/s | Time: 1.0s
  Attempts: 32500000 | Rate: 33805844/s | Time: 1.0s
  Attempts: 32600000 | Rate: 33799398/s | Time: 1.0s
  Attempts: 32700000 | Rate: 33792096/s | Time: 1.0s
  Attempts: 32800000 | Rate: 33785980/s | Time: 1.0s
  Attempts: 32900000 | Rate: 33780256/s | Time: 1.0s
  Attempts: 33000000 | Rate: 33772855/s | Time: 1.0s
  Attempts: 33100000 | Rate: 33767527/s | Time: 1.0s
  Attempts: 33200000 | Rate: 33762133/s | Time: 1.0s
  Attempts: 33300000 | Rate: 33750925/s | Time: 1.0s
  Attempts: 33400000 | Rate: 33740180/s | Time: 1.0s
  Attempts: 33500000 | Rate: 33733629/s | Time: 1.0s
  Attempts: 33600000 | Rate: 33727439/s | Time: 1.0s
  Attempts: 33700000 | Rate: 33721510/s | Time: 1.0s
  Attempts: 33800000 | Rate: 33716715/s | Time: 1.0s
  Attempts: 33900000 | Rate: 33708496/s | Time: 1.0s
  Attempts: 34000000 | Rate: 33703891/s | Time: 1.0s
  Attempts: 34100000 | Rate: 33697200/s | Time: 1.0s
  Attempts: 34200000 | Rate: 33690933/s | Time: 1.0s
  Attempts: 34300000 | Rate: 33683298/s | Time: 1.0s
  Attempts: 34400000 | Rate: 33666725/s | Time: 1.0s
  Attempts: 34500000 | Rate: 33657032/s | Time: 1.0s
  Attempts: 34600000 | Rate: 33650226/s | Time: 1.0s
  Attempts: 34700000 | Rate: 33644866/s | Time: 1.0s
  Attempts: 34800000 | Rate: 33639249/s | Time: 1.0s
  Attempts: 34900000 | Rate: 33629495/s | Time: 1.0s
  Attempts: 35000000 | Rate: 33626282/s | Time: 1.0s
  Attempts: 35100000 | Rate: 33620340/s | Time: 1.0s
  Attempts: 35200000 | Rate: 33614287/s | Time: 1.0s
  Attempts: 35300000 | Rate: 33609213/s | Time: 1.1s
  Attempts: 35400000 | Rate: 33605063/s | Time: 1.1s
  Attempts: 35500000 | Rate: 33595506/s | Time: 1.1s
  Attempts: 35600000 | Rate: 33588228/s | Time: 1.1s
  Attempts: 35700000 | Rate: 33580050/s | Time: 1.1s
  Attempts: 35800000 | Rate: 33569387/s | Time: 1.1s
  Attempts: 35900000 | Rate: 33561230/s | Time: 1.1s
  Attempts: 36000000 | Rate: 33554409/s | Time: 1.1s
  Attempts: 36100000 | Rate: 33539915/s | Time: 1.1s
  Attempts: 36200000 | Rate: 33523707/s | Time: 1.1s
  Attempts: 36300000 | Rate: 33519632/s | Time: 1.1s
  Attempts: 36400000 | Rate: 33514729/s | Time: 1.1s
  Attempts: 36500000 | Rate: 33506126/s | Time: 1.1s
  Attempts: 36600000 | Rate: 33498659/s | Time: 1.1s
  Attempts: 36700000 | Rate: 33496565/s | Time: 1.1s
  Attempts: 36800000 | Rate: 33494323/s | Time: 1.1s
  Attempts: 36900000 | Rate: 33496245/s | Time: 1.1s
  Attempts: 37000000 | Rate: 33495598/s | Time: 1.1s
  Attempts: 37100000 | Rate: 33495715/s | Time: 1.1s
  Attempts: 37200000 | Rate: 33497872/s | Time: 1.1s
  Attempts: 37300000 | Rate: 33499608/s | Time: 1.1s
  Attempts: 37400000 | Rate: 33500638/s | Time: 1.1s
  Attempts: 37500000 | Rate: 33500929/s | Time: 1.1s
  Attempts: 37600000 | Rate: 33501602/s | Time: 1.1s
  Attempts: 37700000 | Rate: 33503208/s | Time: 1.1s
  Attempts: 37800000 | Rate: 33496279/s | Time: 1.1s
  Attempts: 37900000 | Rate: 33496498/s | Time: 1.1s
  Attempts: 38000000 | Rate: 33495756/s | Time: 1.1s
  Attempts: 38100000 | Rate: 33494673/s | Time: 1.1s
  Attempts: 38200000 | Rate: 33494134/s | Time: 1.1s
  Attempts: 38300000 | Rate: 33500196/s | Time: 1.1s
  Attempts: 38400000 | Rate: 33505043/s | Time: 1.1s
  Attempts: 38500000 | Rate: 33510651/s | Time: 1.1s
  Attempts: 38600000 | Rate: 33515547/s | Time: 1.2s
  Attempts: 38700000 | Rate: 33521226/s | Time: 1.2s
  Attempts: 38800000 | Rate: 33527699/s | Time: 1.2s
  Attempts: 38900000 | Rate: 33531497/s | Time: 1.2s
  Attempts: 39000000 | Rate: 33532130/s | Time: 1.2s
